name;quote;person
look_right;If you look right, you can see the whole world from wherever you happen to be.;Carl Safina
look_left;They look right. And you move left;Bruce Willis
look_up;Look up, now look down. Up is endless, down has an ending. Always look up.;Mod Sun
look_down;The only time you should look down at someone, is when you are helping them up.;Jesse Jackson
lean_right;Never bend your head. Always hold it high. Look the world straight in the eye.;Helen Keller
lean_left;Even though you're fed up, you've got to keep your head up.;Tupac Shakur
straight;They say either get right or get left, how about I just go forward and never look back;Behdad Sami
